Date,granoer_hammer,guben_2,guben_sprucke
2010-05-05,0.22433333333333333,19.315384615384616,0.1410909090909091
2010-05-06,0.2251111111111111,19.45384615384615,0.14145454545454544
2010-05-07,0.23288888888888887,19.592307692307692,0.15431818181818183
2010-05-08,0.23366666666666666,19.73076923076923,0.1546818181818182
2010-05-09,0.23444444444444443,19.869230769230768,0.15504545454545454
2010-05-10,0.23522222222222222,21.807692307692307,0.1554090909090909
2010-05-11,0.236,21.946153846153848,0.15577272727272728
2010-05-12,0.236,22.084615384615383,0.14763636363636362
2010-05-13,0.236,22.223076923076924,0.148
2010-05-14,0.236,22.361538461538462,0.1472
2010-05-15,0.236,22.5,0.1464
2010-05-16,0.236,22.46,0.1456
2010-05-17,0.236,22.42,0.1408
2010-05-18,0.236,22.380000000000003,0.14
2010-05-19,0.23305555555555554,22.14,0.1405
2010-05-20,0.2301111111111111,22.1,0.14100000000000001
2010-05-21,0.22716666666666666,22.85,0.14150000000000001
2010-05-22,0.2242222222222222,22.950000000000003,0.15450000000000003
2010-05-23,0.22127777777777777,23.45909090909091,0.155
2010-05-24,0.21833333333333332,23.763636363636365,0.1555
2010-05-25,0.21538888888888888,24.06818181818182,0.156
2010-05-26,0.21244444444444444,24.372727272727275,0.1565
2010-05-27,0.183,24.67727272727273,0.149
2010-05-28,0.183,29.081818181818182,0.1477051282051282
2010-05-29,0.183,29.386363636363637,0.1464102564102564
2010-05-30,0.183,29.69090909090909,0.1451153846153846
2010-05-31,0.183,29.995454545454546,0.1438205128205128
2010-06-01,0.183,30.3,0.15552564102564104
2010-06-02,0.1817,30.022727272727273,0.15423076923076923
2010-06-03,0.1804,29.745454545454546,0.15293589743589742
2010-06-04,0.17909999999999998,29.46818181818182,0.15164102564102563
2010-06-05,0.1778,29.19090909090909,0.15034615384615385
2010-06-06,0.17,27.163636363636364,0.13205128205128203
2010-06-07,0.1689,26.886363636363637,0.13075641025641024
2010-06-08,0.1678,26.60909090909091,0.12946153846153846
2010-06-09,0.16670000000000001,26.331818181818182,0.12816666666666665
2010-06-10,0.16560000000000002,26.054545454545455,0.12687179487179487
2010-06-11,0.159,25.777272727272727,0.11107692307692307
2010-06-12,0.159,25.5,0.10978205128205129
2010-06-13,0.159,25.222727272727276,0.10848717948717948
2010-06-14,0.159,24.945454545454545,0.1071923076923077
2010-06-15,0.1645,20.51818181818182,0.10589743589743589
2010-06-16,0.221,20.240909090909092,0.0961025641025641
2010-06-17,0.2228,19.963636363636365,0.0948076923076923
2010-06-18,0.22460000000000002,19.686363636363637,0.0935128205128205
2010-06-19,0.2264,19.40909090909091,0.09221794871794872
2010-06-20,0.22820000000000001,19.131818181818183,0.09092307692307691
2010-06-21,0.195,18.854545454545455,0.07762820512820512
2010-06-22,0.19572222222222224,18.5,0.07633333333333334
2010-06-23,0.19644444444444445,18.3,0.07503846153846153
2010-06-24,0.19716666666666666,14.649999999999999,0.07374358974358974
2010-06-25,0.1978888888888889,14.795454545454547,0.071
2010-06-26,0.2051111111111111,14.350000000000001,0.063
2010-06-27,0.2058333333333333,13.75,0.059
2010-06-28,0.20655555555555555,13.35,0.061
2010-06-29,0.20727777777777778,13.6,0.059
2010-06-30,0.208,12.75,0.05997435897435897
2010-07-01,0.1996,12.8,0.05317948717948718
2010-07-02,0.1977,12.6,0.05188461538461538
2010-07-03,0.1958,11.55,0.05058974358974359
2010-07-04,0.19390000000000002,11.45,0.04929487179487179
2010-07-05,0.192,10.95,0.048
2010-07-06,0.1776,10.91875,0.0465
2010-07-07,0.17570000000000002,10.8875,0.0455
2010-07-08,0.1738,10.85625,0.0445
2010-07-09,0.1719,10.825,0.0435
2010-07-10,0.17,10.79375,0.042499999999999996
2010-07-11,0.17,10.7625,0.034
2010-07-12,0.17,10.13625,0.033
2010-07-13,0.17,10.105,0.032
2010-07-14,0.17,9.973333333333333,0.0325
2010-07-15,0.17,9.795000000000002,0.033
2010-07-16,0.17,9.71,0.035
2010-07-17,0.17,9.884722222222223,0.037250000000000005
2010-07-18,0.17,9.955,0.03950000000000001
2010-07-19,0.17,10.234166666666667,0.04175
2010-07-20,0.17,10.408888888888889,0.044000000000000004
2010-07-21,0.17,12.628611111111113,0.05575
2010-07-22,0.17,12.803333333333335,0.054
2010-07-23,0.17,12.978055555555557,0.06025
2010-07-24,0.17,13.152777777777779,0.0625
2010-07-25,0.17,13.3275,0.06475
2010-07-26,0.17,13.502222222222223,0.0955
2010-07-27,0.17,13.676944444444445,0.09775
2010-07-28,0.17,13.851666666666667,0.1
2010-07-29,0.17,14.026388888888889,0.10225000000000001
2010-07-30,0.17,15.301111111111112,0.10450000000000001
2010-07-31,0.17,15.475833333333334,0.10475
2010-08-01,0.17,15.650555555555556,0.107
2010-08-02,0.17,15.825277777777778,0.107125
2010-08-03,0.17195,16.0,0.10725
2010-08-04,0.1726,16.596,0.107375
2010-08-05,0.18575,17.192,0.1765
2010-08-06,0.1864,17.788,0.176625
2010-08-07,0.18705,18.384,0.17675
2010-08-08,0.1877,26.33,0.176875
2010-08-09,0.18835000000000002,26.926000000000002,0.177
2010-08-10,0.183,27.522,0.109625
2010-08-11,0.183,28.118000000000002,0.10975
2010-08-12,0.183,28.714,0.109875
2010-08-13,0.183,29.310000000000002,0.11
2010-08-14,0.1964,29.906,0.11616666666666667
2010-08-15,0.22625,30.502,0.20533333333333334
2010-08-16,0.2296,31.098,0.21150000000000002
2010-08-17,0.23295,43.144000000000005,0.21766666666666667
2010-08-18,0.2363,43.739999999999995,0.22383333333333333
2010-08-19,0.23964999999999997,44.336,0.23
2010-08-20,0.25,44.932,0.20866666666666667
2010-08-21,0.25,45.528000000000006,0.21483333333333332
2010-08-22,0.25,46.123999999999995,0.221
2010-08-23,0.25575000000000003,46.72,0.21914285714285714
2010-08-24,0.25766666666666665,47.316,0.2172857142857143
2010-08-25,0.2905833333333333,47.912000000000006,0.23142857142857143
2010-08-26,0.2925,44.608,0.22957142857142857
2010-08-27,0.29441666666666666,45.20399999999999,0.2277142857142857
2010-08-28,0.29633333333333334,45.8,0.22585714285714287
2010-08-29,0.29825,45.53,0.224
2010-08-30,0.2921666666666667,45.26,0.19664285714285715
2010-08-31,0.29408333333333336,44.989999999999995,0.19478571428571428
2010-09-01,0.296,44.72,0.19292857142857145
2010-09-02,0.296,44.45,0.19107142857142856
2010-09-03,0.296,44.18,0.18921428571428572
2010-09-04,0.296,39.86,0.16985714285714287
2010-09-05,0.296,39.59,0.16799999999999998
2010-09-06,0.296,39.32,0.16614285714285715
2010-09-07,0.296,39.05,0.16428571428571428
2010-09-08,0.296,38.78,0.16242857142857142
2010-09-09,0.296,38.510000000000005,0.14857142857142858
2010-09-10,0.296,38.24,0.14671428571428569
2010-09-11,0.296,37.97,0.14485714285714285
2010-09-12,0.296,37.7,0.143
2010-09-13,0.29777777777777775,32.7,0.143
2010-09-14,0.3151666666666667,32.35,0.16349999999999998
2010-09-15,0.31605555555555553,32.4,0.16349999999999998
2010-09-16,0.3169444444444445,32.519999999999996,0.16349999999999998
2010-09-17,0.3178333333333333,32.125,0.16349999999999998
2010-09-18,0.31872222222222224,31.73,0.16349999999999998
2010-09-19,0.3111111111111111,31.335,0.143
2010-09-20,0.312,30.94,0.143
2010-09-21,0.3088333333333333,30.5,0.143
2010-09-22,0.30566666666666664,28.700000000000003,0.143
2010-09-23,0.3025,28.333333333333336,0.143
2010-09-24,0.3438333333333333,27.96666666666667,0.1518
2010-09-25,0.3406666666666667,27.6,0.1526
2010-09-26,0.3375,27.75,0.15339999999999998
2010-09-27,0.33433333333333337,28.78235294117647,0.1542
2010-09-28,0.33116666666666666,29.373529411764707,0.155
2010-09-29,0.2455,29.96470588235294,0.20829999999999999
2010-09-30,0.24233333333333332,30.55588235294118,0.2091
2010-10-01,0.23916666666666667,45.19705882352942,0.2099
2010-10-02,0.236,45.78823529411765,0.2107
2010-10-03,0.23653846153846153,46.379411764705885,0.21150000000000002
2010-10-04,0.3105769230769231,46.970588235294116,0.1638
2010-10-05,0.3111153846153846,47.561764705882354,0.16460000000000002
2010-10-06,0.31165384615384617,48.15294117647059,0.1654
2010-10-07,0.31219230769230766,48.74411764705883,0.16620000000000001
2010-10-08,0.31273076923076926,49.33529411764706,0.167
